dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
947.0, 23.0, 78.0, 869.0, 47.0, 353.45155254999236,3,0,1
947.0, 23.0, 206.0, 741.0, 111.0, 226.27416997969522,2,0,1
947.0, 23.0, 302.0, 645.0, 159.0, 131.93938001976514,2,0,1
947.0, 23.0, 430.0, 517.0, 223.0, -1,0,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 729.5375247374188,0,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 571.5391500151148,2,0,1
947.0, 23.0, 142.0, 805.0, 79.0, 461.5105632593906,3,0,1
947.0, 23.0, 302.0, 645.0, 159.0, 340.1646660075088,2,0,1
947.0, 23.0, 462.0, 485.0, 239.0, 263.8787600395303,2,0,1
947.0, 23.0, 622.0, 325.0, 319.0, 273.408119850161,1,0,1
851.0, 119.0, 686.0, 261.0, 320.4886893480018, 226.27416997969522,2,0,1
787.0, 183.0, 622.0, 325.0, 243.24884377936928, 135.7645019878171,1,0,1
691.0, 279.0, 558.0, 389.0, 237.59208741033444, -1,0,0,1
531.0, 439.0, 558.0, 389.0, 347.1210163617294, 163.1686244349691,2,0,1
467.0, 503.0, 430.0, 517.0, 338.49667649771686, 243.70473938764508,0,0,1
563.0, 407.0, 366.0, 581.0, 244.03483357914297, 204.89997559785115,2,0,1
627.0, 343.0, 238.0, 709.0, 291.322844967572, 295.0254226333724,1,0,1
531.0, 439.0, 174.0, 773.0, 312.13618822558846, 386.6574711550263,1,0,1
339.0, 631.0, 174.0, 773.0, 316.3052323310508, 497.80317395532944,3,0,1
275.0, 695.0, 270.0, 677.0, 243.6801181877586, 488.4588007191599,3,0,1
275.0, 695.0, 462.0, 485.0, 239.60383970212163, 420.89428601490897,3,0,1
275.0, 695.0, 622.0, 325.0, 351.96732802917944, 426.9332500520427,0,0,1
371.0, 599.0, 686.0, 261.0, 344.6810119516304, 357.77087639996637,0,0,1
563.0, 407.0, 686.0, 261.0, 340.91787867461574, 204.89997559785115,3,0,1
627.0, 343.0, 814.0, 133.0, 412.6124089263434, 295.0254226333724,1,0,1
531.0, 439.0, 878.0, 69.0, 330.92597359530424, 386.6574711550263,1,0,1
339.0, 631.0, 878.0, 69.0, 219.72937900972642, 497.80317395532944,0,0,1
179.0, 791.0, 878.0, 69.0, 283.59301824974466, 621.3276108463232,3,0,1
-1, -1, -1, -1, -1, -1,3,0,1
-1, -1, -1, -1, -1, -1,3,0,0
-1, -1, -1, -1, -1, -1,0,0,1
947.0, 23.0, 15.0, 932.0, -1, 915.3627696165056,1,0,1
